main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,Unnamed: 0
bags & luggage,Rucksacks,,,"₹1,899","₹2,999",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,₹735,"₹1,576",
bags & luggage,Rucksacks,,,₹879,"₹1,872",
bags & luggage,Rucksacks,,,"₹2,948","₹4,219",
bags & luggage,Rucksacks,,,"₹2,948","₹4,219",
bags & luggage,Rucksacks,,,"₹2,948","₹4,219",
bags & luggage,Rucksacks,,,"₹2,948","₹4,219",
bags & luggage,Rucksacks,,,"₹2,698","₹3,859",
bags & luggage,Rucksacks,,,₹940,"₹1,880",
bags & luggage,Rucksacks,,,"₹3,801","₹7,602",
bags & luggage,Rucksacks,,,₹738,"₹1,476",
bags & luggage,Rucksacks,,,"₹1,711","₹3,422",
bags & luggage,Rucksacks,,,₹978,"₹1,956",
bags & luggage,Rucksacks,,,₹978,"₹1,956",
bags & luggage,Rucksacks,,,"₹1,431","₹2,862",
bags & luggage,Rucksacks,,,₹784,"₹1,568",
bags & luggage,Rucksacks,,,"₹1,690","₹3,380",
bags & luggage,Rucksacks,,,"₹4,355","₹8,710",
bags & luggage,Rucksacks,,,"₹1,970","₹3,940",
bags & luggage,Rucksacks,,,"₹1,559","₹3,118",
bags & luggage,Rucksacks,,,₹765,"₹1,530",
bags & luggage,Rucksacks,,,"₹3,253","₹6,506",
bags & luggage,Rucksacks,,,"₹2,800","₹5,600",
bags & luggage,Rucksacks,,,₹429,₹499,
bags & luggage,Rucksacks,,,"₹1,772","₹3,544",
bags & luggage,Rucksacks,,,"₹2,718","₹5,436",
bags & luggage,Rucksacks,,,₹716,"₹1,432",
bags & luggage,Rucksacks,,,"₹1,376","₹2,752",
bags & luggage,Rucksacks,,,"₹1,337","₹2,674",
bags & luggage,Rucksacks,,,₹517,"₹1,034",
bags & luggage,Rucksacks,,,"₹1,790","₹3,580",
bags & luggage,Rucksacks,,,"₹2,239","₹4,478",
bags & luggage,Rucksacks,,,"₹1,641","₹3,282",
bags & luggage,Rucksacks,,,₹945,"₹1,890",
bags & luggage,Rucksacks,,,"₹1,640","₹3,280",
bags & luggage,Rucksacks,,,"₹2,259","₹4,518",
bags & luggage,Rucksacks,,,₹654,"₹1,308",
bags & luggage,Rucksacks,,,"₹8,968","₹12,819",
bags & luggage,Rucksacks,,,₹559,₹799,
bags & luggage,Rucksacks,,,₹949,"₹2,299",
bags & luggage,Rucksacks,,,"₹1,999","₹2,999",
bags & luggage,Rucksacks,,,₹762,"₹1,632",
bags & luggage,Rucksacks,4.0,1,,,
bags & luggage,Rucksacks,,,₹549,"₹1,049",
bags & luggage,Rucksacks,,,,"₹1,556",
bags & luggage,Rucksacks,,,₹536,"₹1,072",
bags & luggage,Rucksacks,,,"₹2,206","₹4,412",
bags & luggage,Rucksacks,,,"₹1,899","₹3,798",
bags & luggage,Rucksacks,,,"₹1,002","₹2,004",
bags & luggage,Rucksacks,,,"₹1,274","₹2,548",
bags & luggage,Rucksacks,,,"₹5,302","₹10,604",
bags & luggage,Rucksacks,,,₹189,₹399,
bags & luggage,Rucksacks,,,"₹2,270","₹4,540",
bags & luggage,Rucksacks,,,₹989,"₹1,978",
bags & luggage,Rucksacks,,,₹416,₹832,
bags & luggage,Rucksacks,,,₹527,"₹1,054",
bags & luggage,Rucksacks,,,"₹1,067","₹2,134",
bags & luggage,Rucksacks,,,"₹1,716.49","₹3,216.49",
