,date,nofsales
827,2009-05-14,2
828,2009-05-15,10
829,2009-05-16,1
830,2009-05-17,0
831,2009-05-18,5
832,2009-05-19,6
833,2009-05-20,8
834,2009-05-21,5
835,2009-05-22,5
836,2009-05-23,4
837,2009-05-24,0
838,2009-05-25,10
839,2009-05-26,3
840,2009-05-27,1
841,2009-05-28,9
842,2009-05-29,8
843,2009-05-30,1
844,2009-05-31,0
845,2009-06-01,4
846,2009-06-02,5
847,2009-06-03,3
848,2009-06-04,5
849,2009-06-05,6
850,2009-06-06,0
851,2009-06-07,0
852,2009-06-08,0
853,2009-06-09,3
854,2009-06-10,3
855,2009-06-11,5
856,2009-06-12,8
857,2009-06-13,2
858,2009-06-14,0
859,2009-06-15,5
860,2009-06-16,3
861,2009-06-17,6
862,2009-06-18,7
863,2009-06-19,2
864,2009-06-20,0
865,2009-06-21,0
866,2009-06-22,12
867,2009-06-23,4
868,2009-06-24,7
869,2009-06-25,3
870,2009-06-26,6
871,2009-06-27,3
872,2009-06-28,0
873,2009-06-29,6
874,2009-06-30,2
875,2009-07-01,3
876,2009-07-02,2
877,2009-07-03,6
878,2009-07-04,0
879,2009-07-05,0
880,2009-07-06,5
881,2009-07-07,2
882,2009-07-08,3
883,2009-07-09,6
884,2009-07-10,3
885,2009-07-11,0
886,2009-07-12,0
887,2009-07-13,5
888,2009-07-14,3
889,2009-07-15,4
890,2009-07-16,4
891,2009-07-17,5
892,2009-07-18,2
893,2009-07-19,1
894,2009-07-20,8
895,2009-07-21,6
896,2009-07-22,7
897,2009-07-23,2
898,2009-07-24,4
899,2009-07-25,1
900,2009-07-26,0
901,2009-07-27,5
902,2009-07-28,1
903,2009-07-29,5
904,2009-07-30,1
905,2009-07-31,9
906,2009-08-01,1
907,2009-08-02,0
908,2009-08-03,7
909,2009-08-04,7
910,2009-08-05,6
911,2009-08-06,4
912,2009-08-07,7
913,2009-08-08,0
914,2009-08-09,0
915,2009-08-10,3
916,2009-08-11,7
917,2009-08-12,2
918,2009-08-13,2
919,2009-08-14,4
920,2009-08-15,0
921,2009-08-16,0
922,2009-08-17,11
923,2009-08-18,3
924,2009-08-19,8
925,2009-08-20,6
926,2009-08-21,1
927,2009-08-22,2
928,2009-08-23,2
929,2009-08-24,7
930,2009-08-25,1
931,2009-08-26,1
932,2009-08-27,4
933,2009-08-28,6
934,2009-08-29,2
935,2009-08-30,0
936,2009-08-31,3
937,2009-09-01,2
938,2009-09-02,6
939,2009-09-03,3
940,2009-09-04,4
941,2009-09-05,5
942,2009-09-06,0
943,2009-09-07,1
944,2009-09-08,3
945,2009-09-09,3
946,2009-09-10,3
947,2009-09-11,3
948,2009-09-12,4
949,2009-09-13,1
950,2009-09-14,3
951,2009-09-15,4
952,2009-09-16,4
953,2009-09-17,4
954,2009-09-18,5
955,2009-09-19,6
956,2009-09-20,1
957,2009-09-21,6
958,2009-09-22,7
959,2009-09-23,4
960,2009-09-24,2
961,2009-09-25,7
962,2009-09-26,3
963,2009-09-27,1
964,2009-09-28,6
965,2009-09-29,10
966,2009-09-30,12
967,2009-10-01,9
968,2009-10-02,4
969,2009-10-03,1
970,2009-10-04,0
971,2009-10-05,0
972,2009-10-06,5
973,2009-10-07,5
974,2009-10-08,4
975,2009-10-09,7
976,2009-10-10,11
977,2009-10-11,1
978,2009-10-12,8
979,2009-10-13,1
980,2009-10-14,0
981,2009-10-15,2
982,2009-10-16,6
983,2009-10-17,3
984,2009-10-18,0
985,2009-10-19,6
986,2009-10-20,3
987,2009-10-21,3
988,2009-10-22,1
989,2009-10-23,7
990,2009-10-24,6
991,2009-10-25,0
992,2009-10-26,8
993,2009-10-27,4
994,2009-10-28,2
995,2009-10-29,3
996,2009-10-30,4
997,2009-10-31,5
998,2009-11-01,1
999,2009-11-02,12
1000,2009-11-03,0
1001,2009-11-04,13
1002,2009-11-05,5
1003,2009-11-06,4
1004,2009-11-07,2
1005,2009-11-08,0
1006,2009-11-09,10
1007,2009-11-10,6
1008,2009-11-11,3
1009,2009-11-12,4
1010,2009-11-13,2
1011,2009-11-14,2
1012,2009-11-15,0
1013,2009-11-16,8
1014,2009-11-17,3
1015,2009-11-18,8
1016,2009-11-19,2
1017,2009-11-20,11
1018,2009-11-21,0
1019,2009-11-22,0
1020,2009-11-23,4
1021,2009-11-24,6
1022,2009-11-25,6
1023,2009-11-26,8
1024,2009-11-27,3
1025,2009-11-28,5
1026,2009-11-29,0
1027,2009-11-30,5
1028,2009-12-01,2
1029,2009-12-02,7
1030,2009-12-03,3
1031,2009-12-04,4
1032,2009-12-05,7
1033,2009-12-06,0
1034,2009-12-07,7
1035,2009-12-08,2
1036,2009-12-09,3
1037,2009-12-10,3
1038,2009-12-11,5
1039,2009-12-12,1
1040,2009-12-13,0
1041,2009-12-14,5
1042,2009-12-15,7
1043,2009-12-16,3
1044,2009-12-17,4
1045,2009-12-18,7
1046,2009-12-19,1
1047,2009-12-20,0
1048,2009-12-21,5
1049,2009-12-22,6
1050,2009-12-23,19
1051,2009-12-24,12
1052,2009-12-25,0
1053,2009-12-26,0
1054,2009-12-27,0
1055,2009-12-28,0
1056,2009-12-29,0
1057,2009-12-30,0
1058,2009-12-31,0
1059,2010-01-01,0
1060,2010-01-02,0
1061,2010-01-03,0
1062,2010-01-04,1
1063,2010-01-05,1
1064,2010-01-06,2
1065,2010-01-07,1
1066,2010-01-08,2
1067,2010-01-09,0
1068,2010-01-10,0
1069,2010-01-11,5
1070,2010-01-12,0
1071,2010-01-13,2
1072,2010-01-14,4
1073,2010-01-15,1
1074,2010-01-16,0
1075,2010-01-17,0
1076,2010-01-18,2
1077,2010-01-19,5
1078,2010-01-20,3
1079,2010-01-21,1
1080,2010-01-22,3
1081,2010-01-23,0
1082,2010-01-24,0
1083,2010-01-25,3
1084,2010-01-26,0
1085,2010-01-27,5
1086,2010-01-28,3
1087,2010-01-29,6
1088,2010-01-30,2
1089,2010-01-31,0
1090,2010-02-01,4
1091,2010-02-02,3
1092,2010-02-03,2
1093,2010-02-04,4
1094,2010-02-05,3
1095,2010-02-06,3
1096,2010-02-07,1
1097,2010-02-08,2
1098,2010-02-09,2
1099,2010-02-10,5
1100,2010-02-11,4
1101,2010-02-12,7
1102,2010-02-13,1
1103,2010-02-14,0
1104,2010-02-15,2
1105,2010-02-16,2
1106,2010-02-17,10
1107,2010-02-18,6
1108,2010-02-19,6
1109,2010-02-20,3
1110,2010-02-21,0
1111,2010-02-22,6
1112,2010-02-23,5
1113,2010-02-24,5
1114,2010-02-25,5
1115,2010-02-26,4
1116,2010-02-27,4
1117,2010-02-28,1
1118,2010-03-01,9
1119,2010-03-02,2
1120,2010-03-03,10
1121,2010-03-04,4
1122,2010-03-05,11
1123,2010-03-06,3
1124,2010-03-07,0
1125,2010-03-08,0
1126,2010-03-09,5
1127,2010-03-10,2
1128,2010-03-11,5
1129,2010-03-12,7
1130,2010-03-13,1
1131,2010-03-14,1
1132,2010-03-15,6
1133,2010-03-16,5
1134,2010-03-17,10
1135,2010-03-18,4
1136,2010-03-19,10
1137,2010-03-20,2
1138,2010-03-21,0
1139,2010-03-22,3
1140,2010-03-23,6
1141,2010-03-24,4
1142,2010-03-25,9
1143,2010-03-26,1
1144,2010-03-27,2
1145,2010-03-28,0
1146,2010-03-29,6
1147,2010-03-30,10
1148,2010-03-31,3
1149,2010-04-01,11
1150,2010-04-02,1
1151,2010-04-03,1
1152,2010-04-04,0
1153,2010-04-05,0
1154,2010-04-06,2
1155,2010-04-07,4
1156,2010-04-08,10
1157,2010-04-09,6
1158,2010-04-10,1
1159,2010-04-11,0
1160,2010-04-12,5
1161,2010-04-13,2
1162,2010-04-14,4
1163,2010-04-15,3
1164,2010-04-16,3
1165,2010-04-17,5
1166,2010-04-18,0
1167,2010-04-19,7
1168,2010-04-20,5
